time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-07-19T23:36:14.584Z,64.0698,-22.1891,10,4.5,mb,,100,0.776,0.64,us,us7000ard2,2020-09-26T16:58:39.040Z,"9 km WSW of Álftanes, Iceland",earthquake,5.6,1.9,0.034,254,reviewed,us,us
2020-07-14T00:56:21.026Z,64.5336,-17.7173,10,4.4,mb,,112,1.569,1,us,us7000an4j,2020-09-19T20:58:19.040Z,"124 km WNW of Höfn, Iceland",earthquake,8.4,1.9,0.062,74,reviewed,us,us
2020-07-08T17:41:33.441Z,66.0895,-18.6899,10,4.2,mb,,65,1.741,0.89,us,us7000ak95,2020-09-19T20:57:57.040Z,"12 km SE of Siglufjörður, Iceland",earthquake,3.8,1.9,0.076,48,reviewed,us,us
2020-06-24T17:19:32.556Z,66.3237,-18.9437,10,4.2,mb,,75,1.868,0.91,us,us7000afr0,2020-09-05T17:35:39.040Z,"19 km N of Siglufjörður, Iceland",earthquake,4.8,1.9,0.066,65,reviewed,us,us
2020-06-24T11:51:44.601Z,66.4235,-18.9333,10,4.1,mb,,55,1.955,0.61,us,us7000afqn,2020-09-05T17:35:38.040Z,"30 km N of Siglufjörður, Iceland",earthquake,6.8,1.9,0.145,13,reviewed,us,us
2020-06-21T21:26:27.631Z,66.223,-18.9215,10,4.1,mb,,120,1.789,0.37,us,us6000ag49,2020-08-30T00:01:01.040Z,"7 km N of Siglufjörður, Iceland",earthquake,12.2,2,0.096,30,reviewed,us,us
2020-06-21T19:57:09.401Z,66.5048,-18.9503,10,4.4,mb,,84,2.021,1.21,us,us6000ag2l,2020-08-30T00:01:00.040Z,"39 km N of Siglufjörður, Iceland",earthquake,4.8,1.9,0.063,72,reviewed,us,us
2020-06-21T19:46:17.826Z,66.4191,-18.7916,10,4.5,mb,,85,1.982,0.9,us,us6000ag1w,2020-08-30T00:01:00.040Z,"30 km N of Siglufjörður, Iceland",earthquake,8.7,1.9,0.064,70,reviewed,us,us
2020-06-21T19:29:17.248Z,66.2886,-18.6299,10,4.5,mb,,88,1.912,0.92,us,us6000ag1s,2020-08-30T00:01:00.040Z,"19 km NE of Siglufjörður, Iceland",earthquake,5.1,1.9,0.069,62,reviewed,us,us
2020-06-21T19:14:49.937Z,66.2726,-18.6721,10,4.5,mb,,97,1.889,0.58,us,us7000ac7b,2020-08-30T00:01:21.040Z,"17 km NE of Siglufjörður, Iceland",earthquake,6.7,1.9,0.191,8,reviewed,us,us
2020-06-21T19:07:54.833Z,66.381,-18.707,10,6,mww,,55,1.969,0.87,us,us6000ag18,2021-09-02T14:18:32.772Z,"27 km NNE of Siglufjörður, Iceland",earthquake,6.9,1.8,0.034,81,reviewed,us,us
